token,type,score,cummulative percentage,english
tisztáz,VERB,1,98.35,"1 - (transitive) to clarify, to make something clear, to explain, to demystify##2 - (transitive) to clear, absolve, exonerate someone (from an accusation alól)"
kárörvendő,ADJ,1,98.35,
khm,NOUN,1,98.35,
vészjósló,ADJ,1,98.36,
elmarad,VERB,1,98.36,1 - (intransitive) to be cancelled
ohóz,VERB,1,98.36
halaszthat,VERB,1,98.36
mostanában,ADV,1,98.37,"1 - lately, of late##2 - nowadays"
ijedez,VERB,1,98.37
csudálkozó,ADJ,1,98.37,
galléros,ADJ,1,98.37,1 - collared (having a collar)
viselt,ADJ,1,98.37,
körszakállas,ADJ,1,98.38,
kivall,VERB,1,98.38,"**VALL**1 - (transitive) to confess, to admit#(intransitive, law) to testify, to bear witness##2 - (transitive) to confess, to admit#(reflexively, as vallja magát, with definite conjugation, law) to plead (innocent or guilty) (used with -nak/-nek)##3 - (transitive) to declare (e.g. one’s love)#(transitive) to profess, to avow (a belief or faith)##4 - (transitive) to declare (e.g. one’s love)#(transitive) to hold (certain views), to advocate (a principle)##5 - (transitive) to declare (e.g. one’s love)#(transitive) to acknowledge, to own (a child as one's own) (used with magáénak)##6 - (transitive) to declare (e.g. one’s love)#(reflexively, as vallja magát, with definite conjugation) to profess oneself, to identify as something/someone##7 - (intransitive) to show, to speak of, to bespeak, to denote, to indicate, to be indicative of (e.g. good or bad taste or personal interests, deducing them from external clues) (used with -ra/-re)"
ráparancsol,VERB,1,98.38,"**PARANCSOL**1 - (transitive) to order, to command (a task to be done, as a higher authority)##2 - (transitive) to order, to command (a task to be done, as a higher authority)#(transitive) to order someone to go somewhere##3 - (intransitive, also figurative) to have authority or command over someone or something (-nak/-nek)##4 - (transitive, formal) (chiefly addressee) to ask for, to wish (food, drink or service)##5 - (intransitive, formal, second person) (asking for clarificarion) I beg your pardon?"
gyanúsít,VERB,1,98.38,1 - (transitive) to suspect somebody (-t/-ot/-at/-et/-öt) of something (-val/-vel)
világélet,NOUN,1,98.39,
felszólíta,VERB,1,98.39
lelketekre,NOUN,1,98.39,
igaztalan,ADJ,1,98.39,
bántot,VERB,1,98.39
látszó,ADJ,1,98.4,
gimnazista,NOUN,1,98.4,
bizonyíta,VERB,1,98.4
köhögési,ADJ,1,98.4,
lelk,NOUN,1,98.41,
szemüveges,ADJ,1,98.41,"1 - bespectacled, wearing glasses"
tanuló,NOUN,1,98.41,"1 - pupil (student, chiefly one under 18, less commonly a university student)"
bámuló,ADJ,1,98.41,
bűnös,NOUN,1,98.41,1 - criminal
elképedve,ADV,1,98.42,
szakállú,ADJ,1,98.42,"1 - -bearded, with a …… beard (having a specific kind of beard)"
mindentudó,NOUN,1,98.42,
zűrzavar,NOUN,1,98.42,"1 - chaos, disorder, confusion, clutter"
hazug,ADJ,1,98.43,"1 - untrue, lying"
fráter,NOUN,1,98.43,
kitagad,VERB,1,98.43,1 - (transitive) to disown someone (to refuse to acknowledge one’s own)##2 - (transitive) to disinherit someone (from inheritance: -ból/-ből)
sunyi,ADJ,1,98.43,1 - deceitfully malevolent
átbotorkál,VERB,1,98.44
kocsiút,NOUN,1,98.44,
közlegényszív,NOUN,1,98.44,
mélységes,ADJ,1,98.44,
lázas,ADJ,1,98.44,"1 - feverish, febrile, fevered (having an elevated body temperature)##2 - feverish, febrile (filled with excess energy)##3 - feverish, hectic, frantic (in a state of frenzy or rush)"
kisbetűvel,NOUN,1,98.45,
állapot,NOUN,1,98.45,1 - state (a condition)
hadikészülődés,NOUN,1,98.45,
felső,ADJ,1,98.45,"1 - top, upper"
járó,ADJ,1,98.46,"1 - going, walking, moving##2 - (money) due to##3 - consequent upon something, inherent in something"
hetedista,NOUN,1,98.46,
nyolcadista,NOUN,1,98.46,
érdeklődik,VERB,1,98.46,1 - (intransitive) to be interested (to show interest in someone or something: iránt)##2 - (intransitive) to inquire (about someone or something: után or felől or -ról/-ről)
szórakozott,ADJ,1,98.46,
más,ADJ,1,98.47,"1 - other, different (in some aspect: -ban/-ben)"
zsörtölődő,ADJ,1,98.47,
golyózás,NOUN,1,98.47,
képű,ADJ,1,98.47,"1 - (slightly colloquial) -faced, with a …… face (having a specific kind of face)"
lelkű,ADJ,1,98.48,"1 - -souled, with a …… soul, -minded (having a specific kind of soul, mind, heart)"
lapoz,VERB,1,98.48,"1 - (ambitransitive) to turn the page, turn over##2 - (intransitive, figuratively) to move on"
eleje,NOUN,1,98.48,"1 - (only with a possessive suffix) the front, the initial or early part, or the beginning of something"
szétszóródva,ADV,1,98.48,
harmadik,NOUN,1,98.49,1 - third (the person or thing in the third position)
kényszerűség,NOUN,1,98.49,1 - necessity
aziránt,ADV,1,98.49,
megegyezik,VERB,1,98.49,"1 - (intransitive) to match, to be the same (as something: -val/-vel; in some aspect: -ban/-ben)##2 - (intransitive) to agree (to make a stipulation by way of settling differences or determining a price; to exchange promises; to come to terms or to a common resolve; with someone: -val/-vel, on something: -ban/-ben)"
töröl,VERB,1,98.49,"1 - (transitive) to wipe, dust (optionally into something like a cloth: -ba/-be)##2 - (transitive) to delete, erase##3 - (transitive) to annul, cancel"
vitat,VERB,1,98.5,"1 - (transitive) to dispute, debate"
megvív,VERB,1,98.5,**VÍV**1 - (intransitive) to fence##2 - (ambitransitive) to fight
tömeges,ADJ,1,98.5,"1 - mass, multitudinous"
ügyesség,NOUN,1,98.5,"1 - cleverness, skillfulness, skill, dexterity, handiness"
felajánl,VERB,1,98.51,"1 - (transitive) to offer someone (-nak/-nek) something (-t/-ot/-at/-et/-öt) (to place at someone’s disposal; to present (something) to be either accepted or turned down)##2 - (transitive) to offer (to present (something) to God or gods as a gesture of worship, or for a sacrifice)"
öreg,NOUN,1,98.51,"1 - old person##2 - (colloquial) the leader of a community##3 - (often with a possessive suffix) (colloquial) one’s parents, old man or old lady##4 - (with a first-person possessive suffix) (colloquial) man, bro (form of address for a person of roughly equal age and status)"
hasznos,ADJ,1,98.51,1 - useful (having a practical or beneficial use)
megtanít,VERB,1,98.51,**TANÍT**1 - (transitive) to teach (to pass on knowledge to)##2 - (transitive) to teach (to cause to learn or understand)##3 - (intransitive) to teach (to act as a teacher)
végignézniök,VERB,1,98.51
megkezdés,NOUN,1,98.52,"1 - opening, commencement, initiation, start (the beginning of an activity)"
lenniök,VERB,1,98.52
pipál,VERB,1,98.52
viselő,ADJ,1,98.52,
kertes,ADJ,1,98.53,"1 - having a garden, with a garden"
békés,ADJ,1,98.53,1 - peaceful
hatva,ADV,1,98.53,
fölemelő,ADJ,1,98.53,
feszült,ADJ,1,98.53,1 - tense
hadsegédi,ADJ,1,98.54,
közös,ADJ,1,98.54,"1 - common, joint, shared, collective, communal"
költség,NOUN,1,98.54,"1 - expense, expenditure, cost"
összeg,NOUN,1,98.54,"1 - sum, total (quantity obtained by addition or aggregation)##2 - sum, amount (a quantity of money)"
rúgó,ADJ,1,98.55,
hív,ADJ,1,98.55,"1 - (archaic) alternative form of hű (“loyal, faithful, devoted”)"
női,ADJ,1,98.55,"1 - women’s, ladies’, womanly, feminine, female, maiden (of or related to women or the female gender in general, typically used by women, belonging to women, or consisting of women)"
öltözik,VERB,1,98.55,"1 - (intransitive) to dress, get dressed"
kipottyan,VERB,1,98.56
aláss,VERB,1,98.56
papucs,NOUN,1,98.56,"1 - slipper##2 - (colloquial, humorous) henpecked (husband)"
felmos,VERB,1,98.56,"1 - (transitive) to mop, to scrub (floor)"
úré,NOUN,1,98.56,
címezve,ADV,1,98.57,
paksaméta,NOUN,1,98.57,
irkapapír,NOUN,1,98.57,
levélpapír,NOUN,1,98.57,"1 - writing paper (paper for letters, usually of higher quality, designed to be written on with ink)"
levélpapiros,NOUN,1,98.58,
árkuspapír,NOUN,1,98.58,
végig-végig,ADV,1,98.58,
megpróbál,VERB,1,98.58,1 - (transitive) to try
szakít,VERB,1,98.58,"1 - (transitive) to tear, rend, rip, split##2 - (transitive) to pluck (e.g. a flower)##3 - (transitive, with időt as its object) to find or spare (time for something)##4 - (intransitive, weightlifting) to snatch (to lift the barbell from the ground to overhead in one continuous motion)##5 - (transitive, slang) to pull in (to pull down, earn, make money)##6 - (intransitive) to break, break off (to stop following something, with -val/-vel)##7 - (intransitive, ergative) to break up (from a relationship, with someone -val/-vel)"
hibázik,VERB,1,98.59,"1 - (intransitive) to make a mistake, err##2 - (intransitive) to be missing"
érdemeltétek,VERB,1,98.59
viseltétek,VERB,1,98.59
letagad,VERB,1,98.59,**TAGAD**1 - (transitive) to deny
bizonyul,VERB,1,98.6,"1 - (intransitive) to prove to be, to turn out (-nak/-nek)"
megvesz,VERB,1,98.6,"1 - (transitive) to buy, to purchase####1 - (intransitive) alternative form of megvész (“to get rabid/crazy”)"
kiengesztel,VERB,1,98.6,"**ENGESZTEL**1 - (transitive) to appease, conciliate (to dispel anger or hatred)##2 - (transitive) to soften, conciliate, placate, mollify (to alleviate something)"
haszontalan,ADJ,1,98.6,"1 - (of a thing or object) useless, worthless (that is of little or no use)##2 - (of a child) naughty, mischievous (tending to misbehave or act badly)##3 - (of a person) good-for-nothing##4 - unavailing, futile, useless (incapable of producing results; doomed not to be successful; not worth attempting)"
fődolog,NOUN,1,98.6,
beszélte,VERB,1,98.61,1 - third-person singular indicative past definite of beszél####1 - verbal participle of beszél
jóváten,VERB,1,98.61
szid,VERB,1,98.61,"1 - (transitive) to chide, scold, reprimand"
akárhogy,ADV,1,98.61,"1 - anyway, anyhow, whatever (either this way or that way, in any way or manner)"
dobta,VERB,1,98.62,1 - third-person singular indicative past definite of dob
dobhat,VERB,1,98.62,1 - potential form of dob
röhög,VERB,1,98.62,"1 - (derogatory) to guffaw, snicker, giggle, laugh"
kikémlel,VERB,1,98.62
le,ADV,1,98.63,1 - down
hallhat,VERB,1,98.63,1 - potential form of hall
ugyanúgy,ADV,1,98.63,"1 - similarly, likewise, in the same way (as that one), just the same (way)"
képzelhet,VERB,1,98.63,1 - potential form of képzel
elgyöngül,VERB,1,98.63,**GYÖNGÜL**1 - (intransitive) alternative form of gyengül
fáradtság,NOUN,1,98.64,"1 - tiredness, weariness"
lepottyan,VERB,1,98.64
közibe,NOUN,1,98.64,
érett,ADJ,1,98.64,"1 - ripe, mellow##2 - (figuratively) mature"
barackfa,NOUN,1,98.65,
előbbi,NOUN,1,98.65,
katonátok,VERB,1,98.65
hadikutya,NOUN,1,98.65,
megbocsáta,VERB,1,98.65
visszaveszik,VERB,1,98.66,**VESZIK**1 - (intransitive) alternative form of vész (as a verb)####1 - third-person plural indicative present definite of vesz
ezáltal,ADV,1,98.66,"1 - hereby (by this means, action or process)"
jóvátesez,VERB,1,98.66
bent,ADV,1,98.66,1 - inside
sz.,NOUN,1,98.67,1 - abbreviation of század (“century”): cent.####1 - abbreviation of szám (“number”): No.
alj,NOUN,1,98.67,"1 - (chiefly with a possessive suffix) bottom, lower part##2 - (folksy) skirt"
megjavul,VERB,1,98.67,**JAVUL**1 - (intransitive) to improve (to become better)
érdemes,ADJ,1,98.67,"1 - worthy, worthwhile##2 - (of a person) praiseworthy, commendable, meritorious, excellent"
bátortalan,ADJ,1,98.67,"1 - diffident, timid, faint-hearted"
mellé,VERB,1,98.68
régi,NOUN,1,98.68,"1 - (in the plural, of people) the ancients, the old folk##2 - usual, same (a previous state or situation)"
szolgálólány,NOUN,1,98.68,
berúg,VERB,1,98.68,"1 - (transitive) to kick in (to kick or strike so as to cause the object struck to collapse or fall inwards)##2 - (transitive) to kick start (to start a motorcycle)##3 - (transitive, soccer) to score (a goal) (to earn points in a soccer game)##4 - (intransitive, informal) to get drunk"
ígéret,NOUN,1,98.69,1 - promise
betehet,VERB,1,98.69,**TEHET**1 - potential form of tesz
ceremónia,NOUN,1,98.69,"1 - ceremony (official gathering to celebrate or otherwise mark some event)##2 - (religion) ceremony (a ritual, with religious or cultural significance)##3 - ceremony, formality##4 - (colloquial) fuss, ado, commotion (unnecessary ceremoniousness)"
visszakaphat,VERB,1,98.69,**KAPHAT**1 - potential form of kap
villám,NOUN,1,98.7,1 - lightning####1 - first-person singular single-possession possessive of villa
halálsápadt,ADJ,1,98.7,"1 - deathly pale, as pale as death"
félrevezet,VERB,1,98.7,"1 - (transitive) to mislead, deceive, misguide someone"
fölkap,VERB,1,98.7
integet,VERB,1,98.7,1 - (intransitive) to wave (to move one's hand repeatedly back and forth in greeting or departure)##2 - (intransitive) to wave (to move one's hand repeatedly back and forth as a signal or warning)
csáva,NOUN,1,98.71,
zörg,VERB,1,98.71
három,NOUN,1,98.71,
fegyvertelen,ADJ,1,98.71,1 - unarmed (defenceless and lacking weapon)
buzgóság,NOUN,1,98.72,1 - zeal
megizen,VERB,1,98.72
említ,VERB,1,98.72,1 - (transitive) to mention
állapodik,VERB,1,98.72
szeg,VERB,1,98.72,"1 - (transitive) to hem, to fringe##2 - (transitive) to cut (especially bread)##3 - (transitive) to break, contravene (a rule or the law)##4 - (transitive) to break (one’s word, promise, or oath)"
háromféle,ADJ,1,98.73,1 - three types of
harcolási,ADJ,1,98.73,
lándzsavívás,NOUN,1,98.73,
győzve,ADV,1,98.73,
birkózhatik,VERB,1,98.74
verekedik,VERB,1,98.74,"1 - (intransitive, reciprocal) to fight (to contend in physical conflict; with someone: -val/-vel)"
állván,ADV,1,98.74,
kérdezősköd,VERB,1,98.74
meglátogat,VERB,1,98.75,"1 - (transitive) to visit someone, to call on someone"
viselkedik,VERB,1,98.75,1 - (intransitive) to behave
indulj,VERB,1,98.75
odavezet,VERB,1,98.75,"**VEZET**1 - to determine the direction in which someone or something proceeds#(transitive) to lead, to guide (to show the way by going ahead; with lative suffixes)##2 - to determine the direction in which someone or something proceeds#(transitive) to lead (to conduct in a course or path by physical connection)##3 - to determine the direction in which someone or something proceeds#(intransitive) to lead to (of a road, staircase, tracks, etc.; to continue in the direction of; with lative suffixes)##4 - to determine the direction in which someone or something proceeds#(intransitive, figurative) to lead to, to result in (to bring about as a consequence)##5 - (ambitransitive) to drive (to operate a self-propelled vehicle)##6 - (transitive) to lead, to head, to command (to exercise power, control or authority over)##7 - (transitive) to run, to manage (to be in charge of, to conduct the affairs of)##8 - (transitive) to preside over, to host (to moderate a meeting, session or debate; to present a television or radio show)##9 - (transitive) to keep, to maintain (to record transactions, accounts or events in)##10 - (ambitransitive) to be in the lead (to be ahead of others in a race, game, competition, election, list, etc.)##11 - (transitive) to run (to cause to pass through)##12 - (transitive, physics) to conduct, to transmit (to serve as a medium for conveying heat, electricity, sound, etc.)"
földszinti,ADJ,1,98.75,
mázolt,ADJ,1,98.76,
felírás,NOUN,1,98.76,
mondva,ADV,1,98.76,
borzas,ADJ,1,98.76,
elérzékenyülve,ADV,1,98.77,
megbocsátik,VERB,1,98.77
csésze,NOUN,1,98.77,1 - cup (a concave vessel for drinking from)
csábító,ADJ,1,98.77,
délfelé,ADV,1,98.77,
kitisztul,VERB,1,98.78
fölszikkad,VERB,1,98.78
budai,ADJ,1,98.78,"1 - (historical) Of, from, or relating to the pre-1873 city of Buda.##2 - Of or relating to Buda, the western part of the Hungarian capital, Budapest."
felhalmozott,ADJ,1,98.78,"1 - accumulated, stored up, accrued"
zsibong,VERB,1,98.79
maradt,ADJ,1,98.79,
eszeget,VERB,1,98.79
összegyülekezik,VERB,1,98.79,"**GYÜLEKEZIK**1 - (intransitive) to assemble, meet, gather together, congregate, convene"
negyedik,ADJ,1,98.79,
ötödik,ADJ,1,98.8,
megrohan,VERB,1,98.8,"1 - (transitive, chiefly military) to storm, rush, assail (someone or something) (to assault suddenly and violently)##2 - (transitive, of people) to flock to, swarm, descend upon (a place etc.) (to arrive to hastily and in large numbers)##3 - (transitive, of a disease, pain etc.) to afflict (someone) suddenly, to come over##4 - (transitive, of an emotion, memory etc.) to overwhelm, seize, engulf (someone)"
hajnal,NOUN,1,98.8,1 - dawn
megrendelés,NOUN,1,98.8,"1 - verbal noun of megrendel: order, purchase order"
előhív,VERB,1,98.81,"1 - (transitive) to call, to summon (to ask someone to come)##2 - (transitive, photography) to develop a negative or photograph (to bring out images latent in photographic film)"
rejtve,ADV,1,98.81,
ötlépésnyi,ADJ,1,98.81,
rávet,VERB,1,98.81,"**VET**1 - (transitive) to throw, cast##2 - (ambitransitive) to sow##3 - (chiefly construed as magára vet) synonym of okol (“to blame”)"
kergessétek,VERB,1,98.82
segítségetekre,NOUN,1,98.82,
két,ADV,1,98.82,
annyian,ADV,1,98.82,
csapattámadás,NOUN,1,98.82,
személyes,ADJ,1,98.83,1 - personal
megigazgat,VERB,1,98.83,"**IGAZGAT**1 - (transitive) to administer, manage, govern##2 - (transitive) to conduct, order, supervise##3 - (transitive) to adjust, to arrange (objects, sometimes anxiously and at length)"
kapavágás,NOUN,1,98.83,
talicska,NOUN,1,98.83,1 - wheelbarrow
serény,ADJ,1,98.84,
sürgött-forog,VERB,1,98.84
fahasáb,NOUN,1,98.84,
felbukkan,VERB,1,98.84,1 - (intransitive) to emerge (to come out of a situation)
hiányzó,ADJ,1,98.84,1 - missing
visszafoglal,VERB,1,98.85,"**FOGLAL**1 - (transitive) to reserve, book##2 - (transitive) to occupy, seize##3 - (transitive) to include, insert, incorporate, fit in, put (one thing inside a bigger entity, such as a system)"
ám,ADV,1,98.85,"1 - (giving emphasis) truly, so"
emlékezhetik,VERB,1,98.85
átment,ADJ,1,98.85,
fölfedez,VERB,1,98.86
kedveskedik,VERB,1,98.86,"1 - (intransitive) to please, to treat, to be affectionate (towards someone:-nak/-nek, with something: -val/-vel)"
visszalopott,ADJ,1,98.86,
visszaszerez,VERB,1,98.86,"**SZEREZ**1 - (transitive) to obtain, get, acquire, procure, earn##2 - (transitive) to cause, induce, give, bring about (emotions, to someone: -nak/-nek)##3 - (transitive) to compose, author (music or sometimes literary works)"
eltávozik,VERB,1,98.86,"**TÁVOZIK**1 - (intransitive, formal) to leave, to go away (to quit the community of the others or leave a place)"
göngyölve,ADV,1,98.87,
elvettetek,VERB,1,98.87,**VETTETEK**1 - second-person plural indicative past indefinite of vesz
helyettes,ADJ,1,98.87,"1 - deputy, substitute, acting"
főzve,ADV,1,98.87,
lefőz,VERB,1,98.88,**FŐZ**1 - (ambitransitive) to cook (to prepare food for eating)##2 - (transitive) to brew (e.g. beer)
siető,ADJ,1,98.88,
sürgő-forgó,ADJ,1,98.88,
rendezkedő,ADJ,1,98.88,
veszélyes,ADJ,1,98.89,1 - dangerous
helyedre,NOUN,1,98.89,
hozzákezd,VERB,1,98.89
nedves,ADJ,1,98.89,1 - wet (of an object: covered with or impregnated with liquid)
bombagyártás,NOUN,1,98.89,
szalutálva,ADV,1,98.9,
bástya,NOUN,1,98.9,"1 - bastion, rampart##2 - (figuratively) bulwark, stronghold##3 - (chess) rook"
fokozódik,VERB,1,98.9,"1 - (intransitive) to intensify, grow, to be on the increase"
piszmogás,NOUN,1,98.9,
zár,NOUN,1,98.91,"1 - lock, latch, fastener##2 - (photography) shutter (part of a camera that opens for a controlled period of time to let light in)"
gula,NOUN,1,98.91,
hármas,ADJ,1,98.91,"1 - three-piece, triple, … of three##2 - number three"
odaérkezik,VERB,1,98.91,"**ÉRKEZIK**1 - (intransitive) to arrive (to get to a certain place), to reach a destination"
túlbuzgó,ADJ,1,98.91,1 - overzealous
lövet,VERB,1,98.92
lő,VERB,1,98.92,"1 - (transitive) to shoot, fire##2 - (impersonal, in third-person plural past form) bang goes to…, the game is up, to be all up with (used with -nak/-nek)"
tartóztat,VERB,1,98.92,"1 - (transitive) to detain, make someone stay##2 - (transitive, rare) to hinder, delay##3 - (reflexively, as tartóztatja magát, with definite conjugation) to restrain/control oneself (to make an effort to suppress one's emotions, temper, etc.)"
guggoló,ADJ,1,98.92,
mulatságos,ADJ,1,98.93,"1 - amusing, entertaining, funny, comic, laughable, hilarious"
ordítozik,VERB,1,98.93
dombtető,NOUN,1,98.93,
csekély,ADJ,1,98.93,"1 - trifling, small, little"
külsőség,NOUN,1,98.94,
különbözik,VERB,1,98.94,1 - (intransitive) to differ (from someone or something: -tól/-től; in some aspect: -ban/-ben)
történetíró,NOUN,1,98.94,1 - historian (writer of history)
fészkelődik,VERB,1,98.94,"1 - (intransitive) to squirm, fidget (to move around restlessly while sitting on a chair or staying in bed)"
igyekezik,VERB,1,98.94,1 - (intransitive) alternative form of igyekszik
szádhoz,NOUN,1,98.95,
lándzsáikon,NOUN,1,98.95,
olyan,ADJ,1,98.95,
trombitaharsogás,NOUN,1,98.95,
abbahagyva,ADV,1,98.96,
csataordítás,NOUN,1,98.96,
megszeppenve,ADV,1,98.96,
megbolondul,VERB,1,98.96,"1 - (intransitive) to go mad, go crazy"
korhadt,ADJ,1,98.96,"1 - rotten, decayed"
beszakad,VERB,1,98.97,"**SZAKAD**1 - (intransitive) (of clothing) to tear##2 - (intransitive, figuratively) to burst (from laughing)##3 - (intransitive, impersonal) (of rain) to pour, (of sweat) to gush or flow profusely (the origin of the liquid is expressed with -ról/-ről)"
hogyne,ADV,1,98.97,"1 - (literary) of course, certainly, absolutely##2 - (sarcastic) no way, certainly not, nothing of the sort"
ugyanolyan,ADJ,1,98.97,
hátulról,ADV,1,98.97,1 - delative of hátul
elölről,ADV,1,98.98,"1 - delative of elöl: from the beginning, from scratch##2 - over, again"
ravasz,ADJ,1,98.98,"1 - sly, cunning, artful, wily"
csapda,NOUN,1,98.98,"1 - trap (a machine or other device designed to catch and sometimes kill animals, either by holding them in a container, or by catching hold of part of the body)##2 - (figuratively) trap, snare, setup, trick (an arrangement designed to catch someone in a more general sense)"
jelezve,ADV,1,98.98,
derekas,ADJ,1,98.98,
megakadályoz,VERB,1,98.99,"1 - (transitive) to prevent, to hinder, to interfere, to impede (to stop; to keep from happening)"
felrohan,VERB,1,98.99,"**ROHAN**1 - (intransitive) to rush, to hurry##2 - (intransitive) to run, to sprint"
szélső,ADJ,1,98.99,"1 - outer, extreme (the most remote, farthest or outermost)"
nevezetes,ADJ,1,98.99,"1 - famous, celebrated, renowned, notable, noteworthy, significant"
vetkőzve,ADV,1,99.0,
öcs,NOUN,1,99.0,"1 - (chiefly with a possessive suffix) younger brother##2 - (with a first-person possessive suffix, colloquial) kid, dude, bro, man (form of address)##3 - (chiefly with a possessive suffix, folksy, archaic) synonym of húg (“younger sister”)"
céloz,VERB,1,99.0,"1 - (transitive) to aim (at someone: -ra/-re, with something: -val/-vel)##2 - (transitive) to hint at, to allude to"
nekihevült,ADJ,1,99.0,
készülő,NOUN,1,99.01,
zúdít,VERB,1,99.01,"1 - (transitive) to pour, to throw (to suddenly pour a large amount of liquid, especially water; on something or someone: -ra/-re, rarely -ba/-be)##2 - (transitive) to fling, to hurl, to sling, to throw, (to cause objects to move rapidly through the air, usually with destructive, damaging intent, often making a roaring sound; at someone or something: -ra/-re)##3 - (transitive) to dump (to discard trash or material)##4 - (transitive, figuratively, slightly literary) to pour, to shower (to pour hostility, trouble, reproach, suffering, and disaster en masse; on someone or something: -ra/-re)##5 - (transitive, figuratively, slightly literary) to turn against someone or something: ellen"
fogyta,ADJ,1,99.01,
sarokerődben,NOUN,1,99.01,
nyilván,ADV,1,99.01,1 - obviously
jókor,ADV,1,99.02,"1 - at the right time##2 - early, in good time##3 - (sarcastic) late, at a bad time (used to express annoyance when some information is not given at the proper time)"
eress,VERB,1,99.02
száz,NOUN,1,99.02,
parányi,ADJ,1,99.02,"1 - minute, tiny"
növekszik,VERB,1,99.03,1 - (intransitive) alternative form of növekedik
ágyús,ADJ,1,99.03,
puskás,ADJ,1,99.03,1 - with a gun
meggyöngít,VERB,1,99.03
ráismer,VERB,1,99.03,**ISMER**1 - (transitive) to know (be acquainted or familiar with)
egyes,NOUN,1,99.04,"1 - one (digit or figure)#(transport) the one, the number one (a given bus, tram etc. line)##2 - one (digit or figure)#(automotive) first (first gear)##3 - one (digit or figure)#(education) (grade) F (the lowest, i.e. failing grade in a class or course)##4 - one (digit or figure)#(mathematics) unit (the place value, as opposed to tens or hundreds)##5 - one (digit or figure)#(sports) singles##6 - (plural only) some people"
kapálózó,ADJ,1,99.04,
újból,ADV,1,99.04,"1 - again, once again, anew, afresh, re-"
pár,NOUN,1,99.04,"1 - pair, couple (two people or objects that form a unit in any sense)##2 - (in the singular, with a possessive suffix) mate, (breeding) partner##3 - (in the singular, with a possessive suffix) partner, spouse, significant other##4 - (in the singular, with a possessive suffix) counterpart, the other element of a set of two, complementing it into one entity##5 - (in the singular, with a possessive suffix) match, (worthy) rival (someone or something with a measure of an attribute equaling the object of comparison)"
oszolva,ADV,1,99.05,
birkózó,ADJ,1,99.05,
néző,ADJ,1,99.05,
rárivall,VERB,1,99.05
négyes,ADJ,1,99.05,"1 - four-piece, quadruple, … of four##2 - number four"
birkózó,NOUN,1,99.06,1 - wrestler
harcvonal,NOUN,1,99.06,
legyőzhetetlen,ADJ,1,99.06,"1 - unconquerable, invincible, undefeatable (impossible to beat, conquer, overcome, or subdue)"
helyreüt,VERB,1,99.06
meg-megújuló,ADJ,1,99.07,
arcvonal,NOUN,1,99.07,
megfúvat,VERB,1,99.07
teletömve,ADV,1,99.07,
szép,ADV,1,99.08,
sapkás,ADJ,1,99.08,"1 - (of a person) in a cap, wearing a cap##2 - (taxonomy) capped, pileated, hooded"
valaha,ADV,1,99.08,"1 - once, formerly, long ago, a long time ago, (approx.) used to##2 - ever, anytime, at any time (until the present moment or in the future)"
megcáfol,VERB,1,99.08,"**CÁFOL**1 - (transitive) to refute, disprove, confute, disconfirm, falsify (to prove or demonstrate that something is false)##2 - (transitive, informal) to deny, contradict, disaffirm (to claim that something is false)"
tisztán,ADV,1,99.08,"1 - cleanly, clearly"
ehelyett,ADV,1,99.09,1 - instead of this
ismeretlen,ADJ,1,99.09,"1 - unknown##2 - strange, unfamiliar (to someone: számára; not yet part of one’s experience)"
kezdődik,VERB,1,99.09,"1 - (intransitive) to begin, to commence"
hatos,ADJ,1,99.09,1 - sixfold (consisting of six parts)##2 - the number six
megtépett,ADJ,1,99.1,
csillogó,ADJ,1,99.1,"1 - glistening, glittering, sparkling"
győzelmes,ADJ,1,99.1,1 - victorious
tüez,NOUN,1,99.1,
megedzve,ADV,1,99.1,
bizonyosság,NOUN,1,99.11,1 - certainty
verve,ADV,1,99.11,
újonnan,ADV,1,99.11,"1 - newly, recently"
érkezett,ADJ,1,99.11,
hozzá,NOUN,1,99.12,
téglás,ADJ,1,99.12,
magánkívül,ADV,1,99.12,"1 - in a delirious or ecstatic state, in a trance##2 - (figurative) beside oneself (overcome; consumed by an emotion; used with the appropriate form of van (“to be”) and either -ban/-ben of the possessive-suffixed form or -tól/-től of the lemma form of the noun expressing the emotion)"
kunyhój,NOUN,1,99.12,
cáfolat,NOUN,1,99.12,"1 - refutation, confutation, disproof (proving or demonstrating that something is false)##2 - (loosely) rebuttal, denial (a claim that something is false)"
ökl,NOUN,1,99.13,
kidönt,VERB,1,99.13,"**DÖNT**1 - (ambitransitive) to decide on or about something (-ban/-ben or -ról/-ről) (often used with úgy)##2 - (transitive) to tip, overturn, turn over (to change an object's position from vertical to horizontal)##3 - (transitive) to lean, prop, rest (against something -nak/-nek or -hoz/-hez/-höz) (to find a stable position for an object next to a vertical surface)##4 - (transitive) to pour (a liquid or a granular solid matter) somewhere in great quantity##5 - (transitive, construed as magába dönt) to chugalug (to swallow (a container of beer etc.) without pausing)"
pokoli,ADJ,1,99.13,"1 - infernal, hellish"
lármáj,NOUN,1,99.13,
torkaszakadtából,ADV,1,99.14,"1 - at the top of one's lungs, at the top of one's voice (very loudly; as loudly as vocally possible)"
futólépés,NOUN,1,99.14,
dörömbölő,ADJ,1,99.14,
lármázó,ADJ,1,99.14,
visító,ADJ,1,99.15,
túlharsogva,ADV,1,99.15,
sáncárok,NOUN,1,99.15,"1 - trench, ditch, moat, fosse (a long, narrow ditch dug in the ground, especially in warfare)"
